algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
atm_0,atm,android,glove,45.0,69.0,79.0,95.0,100.0,0.5922550530943027,2.0415031909942627,-1.0
adaptdroid_0,union,android,glove,30.0,47.0,59.0,69.0,77.0,0.4493672858340525,1.9809389114379883,-1.0
adaptdroid_0,intersection,android,glove,29.0,47.0,62.0,73.0,77.0,0.44799716806198897,2.070937156677246,-1.0
adaptdroid_0,craftdroid,android,glove,31.0,48.0,61.0,69.0,81.0,0.45847353833478544,1.8892719745635986,-1.0
adaptdroid_0,atm,android,glove,30.0,47.0,63.0,78.0,79.0,0.4564436544139878,1.9880452156066895,-1.0
craftdroid,union,blogs,glove,33.0,55.0,68.0,75.0,83.0,0.48430621550859354,2.049347162246704,-1.0
craftdroid,intersection,blogs,glove,32.0,57.0,69.0,81.0,87.0,0.49401730517535425,2.0329389572143555,-1.0
craftdroid,craftdroid,blogs,glove,32.0,54.0,69.0,75.0,84.0,0.48245731502886136,2.31783390045166,-1.0
craftdroid,atm,blogs,glove,35.0,59.0,70.0,80.0,86.0,0.5053137673338854,2.4778339862823486,-1.0
custom,union,blogs,glove,37.0,64.0,80.0,91.0,99.0,0.5404609279609279,1.9392199516296387,-1.0
custom,intersection,blogs,glove,36.0,60.0,76.0,87.0,90.0,0.5260148517725112,1.9017510414123535,-1.0
custom,craftdroid,blogs,glove,43.0,65.0,80.0,88.0,94.0,0.5678670706687947,1.846074104309082,-1.0
custom,atm,blogs,glove,35.0,60.0,81.0,88.0,94.0,0.5237003400262714,2.2780799865722656,-1.0
atm_0,union,blogs,glove,28.0,57.0,72.0,85.0,89.0,0.4906827579611953,1.9045741558074951,-1.0
atm_0,intersection,blogs,glove,41.0,67.0,82.0,89.0,94.0,0.5719886301826353,1.8333439826965332,-1.0
atm_0,craftdroid,blogs,glove,24.0,53.0,70.0,82.0,90.0,0.4661725102733087,1.8672659397125244,-1.0
atm_0,atm,blogs,glove,44.0,73.0,86.0,93.0,98.0,0.5951533735175777,1.805628776550293,-1.0
adaptdroid_0,union,blogs,glove,24.0,38.0,55.0,65.0,76.0,0.4055384138698568,1.8212711811065674,-1.0
adaptdroid_0,intersection,blogs,glove,23.0,46.0,61.0,63.0,71.0,0.4140061104270424,1.8023490905761719,-1.0
adaptdroid_0,craftdroid,blogs,glove,27.0,40.0,55.0,65.0,77.0,0.42044681195256356,1.8952131271362305,-1.0
adaptdroid_0,atm,blogs,glove,25.0,44.0,62.0,66.0,73.0,0.42451712302633343,2.3070671558380127,-1.0
craftdroid,union,standard,glove,29.0,55.0,66.0,76.0,81.0,0.46978019093257434,2.044534921646118,-1.0
craftdroid,intersection,standard,glove,27.0,57.0,64.0,77.0,84.0,0.46954485185056205,2.013247013092041,-1.0
craftdroid,craftdroid,standard,glove,28.0,54.0,65.0,76.0,81.0,0.4652104790352763,2.0301859378814697,-1.0
craftdroid,atm,standard,glove,30.0,59.0,65.0,77.0,84.0,0.48335058634595174,2.0259830951690674,-1.0
custom,union,standard,glove,43.0,67.0,82.0,90.0,94.0,0.5723070033414861,1.8652091026306152,-1.0
custom,intersection,standard,glove,35.0,62.0,77.0,90.0,95.0,0.5340823389615793,1.7831320762634277,-1.0
custom,craftdroid,standard,glove,40.0,63.0,82.0,88.0,93.0,0.5567566040563,1.8109567165374756,-1.0
