algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
custom,intersection,standard,glove,142.0,195.0,205.0,211.0,213.0,0.8118221647633412,3.404776096343994,-1.0
custom,craftdroid,standard,glove,136.0,193.0,206.0,214.0,216.0,0.7977564102564101,3.404632806777954,-1.0
custom,atm,standard,glove,150.0,198.0,207.0,210.0,214.0,0.8209635136105724,3.444226026535034,-1.0
atm_0,union,standard,glove,112.0,156.0,184.0,198.0,206.0,0.6977836071518244,3.5489370822906494,-1.0
atm_0,intersection,standard,glove,144.0,193.0,206.0,208.0,213.0,0.8141207351193673,3.3618199825286865,-1.0
atm_0,craftdroid,standard,glove,114.0,160.0,182.0,195.0,204.0,0.705228301925442,3.3807148933410645,-1.0
atm_0,atm,standard,glove,143.0,193.0,203.0,210.0,214.0,0.8057876423004345,3.430546998977661,-1.0
adaptdroid_0,union,standard,glove,125.0,162.0,171.0,178.0,187.0,0.7086012896161984,3.414512872695923,-1.0
adaptdroid_0,intersection,standard,glove,129.0,161.0,174.0,184.0,191.0,0.7228102001618543,3.3817930221557617,-1.0
adaptdroid_0,craftdroid,standard,glove,123.0,160.0,169.0,178.0,189.0,0.705976423015865,3.3789408206939697,-1.0
adaptdroid_0,atm,standard,glove,133.0,163.0,176.0,185.0,192.0,0.7332831680264631,3.395080089569092,-1.0
craftdroid,union,googleplay,glove,140.0,189.0,199.0,204.0,212.0,0.7849160078232474,3.814197063446045,-1.0
craftdroid,intersection,googleplay,glove,143.0,194.0,204.0,209.0,212.0,0.8111576583296041,4.001073837280273,-1.0
craftdroid,craftdroid,googleplay,glove,132.0,187.0,199.0,205.0,212.0,0.7728245045552739,4.478273868560791,-1.0
craftdroid,atm,googleplay,glove,146.0,196.0,205.0,208.0,212.0,0.8168389051873214,4.333168268203735,-1.0
custom,union,googleplay,glove,150.0,189.0,200.0,210.0,214.0,0.811405311631556,4.219706773757935,-1.0
custom,intersection,googleplay,glove,145.0,193.0,202.0,210.0,215.0,0.8164691517632695,3.5849111080169678,-1.0
